OM,CODOM,CODUG,SIGLA_UG
B Mnt Sup AAAe,12443,160232,13º BIB
B Mnt Sup Av Ex,12435,160230,15ª Cia E Cmb Mec
B Prec Pqdt,37978,,
Ba Adm / Bda Inf Pqdt,1396,160036,Cmdo 6ª RM
Ba Adm / C Op Esp,1347,160028,35º BI
Ba Adm / CCOMGEx,1248,160018,12º B Sup
Ba Adm / Cmplx Sau RJ,992,160242,Ba Adm / Cmplx Sau RJ
Ba Adm / Curado,1362,160030,1ª Cia Inf
Ba Adm / Gu Fortaleza,1438,160041,40º BI
Ba Adm / Gu João Pessoa,1412,160175,Ba Adm / Gu JP
Ba Adm / Gu Natal,1420,160342,Ba Adm / Gu N
Ba Adm / Gu Santa Maria,1388,160413,Ba Adm / Gu SM
Ba Adm / QGEx,1156,160013,CMM
Ba Adm Ap / 1ª RM,1032,160008,CECMA
Ba Adm Ap / 3ª RM,1222,160017,CRO/12
Ba Adm Ap / 5ª RM,1446,160046,CMF
Ba Adm Ap / 8ª RM,1495,160047,Cmdo 10ª RM
Ba Adm Ap / CMN,1198,160015,Cmdo 2º Gpt E
Ba Adm Ap / CMO,1321,160026,Cmdo 22ª Bda Inf SI
Ba Adm Ap / CMP,1131,160012,CIGS
Ba Adm Ap / Ibirapuera,1214,160457,Ba Adm Ap / Ibirapuera
Ba Adm Cmplx Sau RJ,992,160007,4º B Av Ex
Ba Adm Gu JP,1412,160039,H Ge Salvador
Ba Adm Gu N,1420,160040,Pq R Mnt/6
Ba Adm Gu SM,1388,160034,6º BPE
Ba Ap Log Ex,12369,160228,26º GAC
BCMS,12526,160237,CAEx
BCSv / AMAN,12575,160240,9ª Bia AAAe (Es)
BCSv / Es SA,12583,160244,Cmdo AD/1
BGP,4804,160093,38º BI
Bia C 1ª Bda AAAe,13268,160293,Cmdo DAAe Ex
Bia C AD/1,13219,160272,21º GAC
Bia C AD/3,13409,160285,AGR
Bia C AD/5,13607,160288,CIG
Bia C Cmdo Art Ex,13342,160279,57º BI Mtz (Es)
Bia C Sv / FSJ,13748,160289,CEP / FDC
Bia Cmdo DAAe Ex,13268,160274,25º B Log (Es)
BIBLIEx,14407,160290,CPOR / RJ
BMSA,12492,160234,5º RCC
BPEB,12500,160236,2ª Cia Inf
C Av Ex,21626,160518,B Av T
C C I Ex,16139,160357,12ª Cia Com Mec
C I E,16261,160360,6º B Com
C Id Ex,15669,160349,Cmdo 17ª Bda Inf SI
C Log Msl Fgt,58545,160432,C Log Msl Fgt
C P A Ex,12484,160233,Cmdo 5ª Bda C Bld
C P Ex,17178,160371,29º GAC AP
C PAEx,12484,160289,CEP / FDC
CA - Leste,15181,160297,Cmdo 1ª DE
CA - Sul,15693,160352,Cmdo Fron-RR/7º BIS
CA-Leste,15181,160303,Ba Adm Ap / 1ª Rm
CAEx,15446,160329,BCMS
CCFEx / FSJ,15610,160346,Cmdo Fron-RO/6º BIS
CCOMSEx,15453,160334,Pol Mil do Rio de Janeiro
CCOPAB,16246,160359,H Gu Alegrete
CDCiber,16444,160361,25º GAC
CDE,25411,160517,14ª Cia E Cmb
CDS,15552,160339,1º BEC
CEADEx,15628,160348,5º BEC
CECMA,15578,160343,7º BE Cmb
CEP / FDC,15602,160345,H Gu Natal
CFR,15859,160354,10º B Log
CFR-Manaus,15859,160014,Cmdo 12ª RM
CGEA,17269,160375,27º GAC
CI Art Msl Fgt,58537,160479,Cmdo Art Ex
CI Av Ex,15438,160518,B Av T
CI B,14662,160395,Cmdo CMS
CI Betione,14605,160292,CMRJ
CI Bld,15537,160338,1º Esqd C L
CI BSB,14506,160392,Cmdo 3ª RM
CI JF / CEA,14811,160296,Ba Adm / Bda Inf Pqdt
CI MH,15008,160192,Ba Adm Ap / 5ª RM
CI MNC,15107,160225,Ba Adm / Curado
CI Op Esp,15149,160299,Cmdo CML
CI Pqdt GPB,16204,160358,6º RCB
CI R,15156,160392,Cmdo 3ª RM
CI SM,15305,160413,Ba Adm / Gu SM
Cia C 10ª Bda Inf Mtz,30502,160225,Ba Adm / Curado
Cia C 10ª RM,30619,160047,Cmdo 10ª RM
Cia C 11ª Bda Inf L,30718,160466,Cmdo 11ª Bda Inf Mec
Cia C 11ª Bda Inf Mec,30718,,
Cia C 12ª Bda Inf L (Amv),30874,160462,Cmdo Bda Inf Amv
Cia C 12ª RM,30866,160014,Cmdo 12ª RM
Cia C 13ª Bda Inf Mtz,30932,160158,Cmdo 13ª Bda Inf Mtz
Cia C 14ª Bda Inf Mtz,30940,160444,Cmdo 14ª Bda Inf Mtz
Cia C 15ª Bda Inf Mec,31013,160209,Cmdo 15ª Bda Inf Mec
Cia C 16ª Bda Inf SI,30882,160537,Cmdo 16ª Bda Inf SI
Cia C 17ª Bda Inf SI,29264,160349,Cmdo 17ª Bda Inf SI
Cia C 18ª Bda Inf Fron,27409,160536,Cmdo Fron-Juruá/61º BIS
Cia C 18ª Bda Inf Pan,27409,160146,Cmdo 18ª Bda Inf Pantanal
Cia C 1ª Bda Inf SI,29165,160482,Cmdo 1ª Bda Inf SI
Cia C 1ª DE,28506,160297,Cmdo 1ª DE
Cia C 1ª RM,28613,160303,Ba Adm Ap / 1ª Rm
Cia C 1º Gpt E,28019,160745,CDS
Cia C 22ª Bda Inf Sl,30999,160026,Cmdo 22ª Bda Inf SI
Cia C 22º Bda Inf Sl,30999,,
Cia C 23ª Bda Inf SI,30973,160170,Cmdo 23ª Bda Inf SI
Cia C 2ª Bda Inf Sl,29173,160515,Cmdo 2ª Bda Inf Sl
Cia C 2ª DE,23415,160457,Ba Adm Ap / Ibirapuera
Cia C 2º Gpt E,28092,160749,7º CTA
Cia C 3ª Bda inf Mec,29041,,
Cia C 3ª Bda Inf Mtz,29033,160100,Cmdo 3ª Bda Inf Mtz
Cia C 3ª DE,29108,160413,Ba Adm / Gu SM
Cia C 4ª Bda Inf L Mth,27474,160537,Cmdo 16ª Bda Inf SI
Cia C 4ª RM,29421,160118,Cmdo 4ª RM
Cia C 6ª Bda Inf Bld,29702,160414,Cmdo 6ª Bda Inf Bld
Cia C 6ª RM,29918,160036,Cmdo 6ª RM
Cia C 7ª Bda Inf Mtz,30007,160344,Cmdo 7ª Bda Inf Mtz
Cia C 8ª Bda Inf Mtz,30205,160380,Cmdo 8ª Bda Inf Mtz
Cia C Ba Ap Log Ex,27318,160531,EASA
Cia C Bda Inf Pqdt,27664,160545,H Gu São Gabriel Cachoeira
Cia C CMA,27896,160547,22º BI Mec
Cia C CML,28126,160299,Cmdo CML
Cia C CMNE,28142,160195,Cmdo CMNE
Cia C GUEs/9ª Bda Inf Mtz,30361,160295,Cmdo GUEs/9ª Bda Inf Mtz
Cia C2,28316,160528,Ba Adm / CCOMGEx
Cia Cmdo 2ª DE,23415,160428,2º RC Mec
Cia Com C Av Ex,31120,160518,B Av T
Cia DQBRN,32268,160098,Ba Adm / C Op Esp
Cia Prec Pqdt,37960,160296,Ba Adm / Bda Inf Pqdt
CIAvEx,15438,160328,LQFEx
CIB,14662,160293,Cmdo DAAe Ex
CIBSB,14506,160291,CTEx
CIG,14704,160295,Cmdo GUEs/9ª Bda Inf Mtz
CIGE,15560,160342,Ba Adm / Gu N
CIGS,16014,160356,12º BE Cmb Bld
CIMH,15008,160297,Cmdo 1ª DE
CIMNC,15107,160298,Cmdo 1ª RM
CIR,15156,160301,CRO/1
CISM,15305,160315,CCFEx / FSJ
CITEx,17368,160376,1º RC Mec
CM Cantuária,15842,160353,6º BEC
CMB,20255,160380,Cmdo 8ª Bda Inf Mtz
CMBel,20529,160387,3º CGCFEx - UGE
CMC,20313,160383,12º RC Mec
CMCG,20271,160382,1º CGEO
Cmdo 10ª Bda Inf Mtz,24604,160466,Cmdo 11ª Bda Inf Mec
Cmdo 10ª RM,24679,160468,EsPCEx
Cmdo 11ª Bda Inf L,24794,160466,Cmdo 11ª Bda Inf Mec
Cmdo 11ª Bda Inf Mec,24729,160469,2º GAC
Cmdo 11ª RM,22772,160416,H Ge SM
Cmdo 12ª Bda Inf L (Amv),24828,160474,4º BI Mec
Cmdo 12ª RM,25239,160501,MHEx / FC
Cmdo 13ª Bda Inf Mtz,24836,160477,2º BE Cmb
Cmdo 14ª Bda Inf Mtz,24851,160479,Cmdo Art Ex
Cmdo 15ª Bda Inf Mec,24786,160473,2º GAAAe
Cmdo 16ª Bda Inf SI,24844,160478,13º RC Mec
Cmdo 17ª Bda Inf SI,24893,160482,Cmdo 1ª Bda Inf SI
Cmdo 18ª Bda Inf Fron,24349,160450,14º RC Mec
Cmdo 18ª Bda Inf Pan,24349,160146,Cmdo 18ª Bda Inf Pantanal
Cmdo 1ª Bda AAAe,21741,160293,Cmdo DAAe Ex
Cmdo 1ª Bda C Mec,22806,160418,19º RC Mec
Cmdo 1ª Bda Inf SI,24745,160470,12º GAAAe
Cmdo 1ª DE,23002,160420,19º GAC
Cmdo 1ª RM,23176,160422,Cmdo 1ª Bda C Mec
Cmdo 1º Gpt E,23093,160421,9º B Log
Cmdo 22ª Bda Inf Sl,24646,160467,COLOG
Cmdo 23ª Bda Inf SI,24885,160480,B Ap R Ribeirão Preto
